"name","set_number","release_year","num_minifigs","retired"
"Buildable People with Big Emotions","10423",2024,0,FALSE
"Daily Routines: Bath Time","10413",2024,0,FALSE
"Big Feelings & Emotions","10415",2024,0,FALSE
"Animal Train","10412",2024,0,FALSE
"Visit to the Vet Clinic","10438",2024,0,FALSE
"Alphabet Truck","10421",2024,0,FALSE
"Daily Routines: Eating & Bedtime","10414",2024,0,FALSE
"Monster Truck","60402",2024,1,FALSE
"Emergency Rescue Helicopter","60405",2024,3,FALSE
"Emergency Ambulance","60403",2024,2,FALSE
"Burger Truck","60404",2024,2,FALSE
"Race Car and Car Carrier Truck","60406",2024,2,FALSE
"Go-Karts and Race Drivers","60400",2024,2,FALSE
"Race Car","60399",2024,2,FALSE
"Construction Steamroller","60401",2024,1,FALSE
"Fire Rescue Helicopter","60411",2024,1,FALSE
"Fire Station with Fire Truck","60414",2024,5,FALSE
"Fire Rescue Motorcycle","60410",2024,2,FALSE
"Fire Rescue Plane","60413",2024,3,FALSE
"4x4 Fire Truck with Rescue Boat","60412",2024,3,FALSE
"Police Prison Island","60419",2024,7,FALSE
"Police Mobile Crime Lab Truck","60418",2024,5,FALSE
"Police Speedboat and Crooks' Hideout","60417",2024,3,FALSE
"Police Car and Muscle Car Chase","60415",2024,2,FALSE
"Interstellar Spaceship","60430",2024,1,FALSE
"Space Construction Mech","60428",2024,2,FALSE
"Spaceship and Asteroid Discovery","60429",2024,3,FALSE
"Modular Space Station","60433",2024,7,FALSE
"Command Rover and Crane Loader","60432",2024,7,FALSE
"Space Explorer Rover and Alien Life","60431",2024,4,FALSE
"Space Base and Rocket Launchpad","60434",2024,9,FALSE
"Knuckles' Guardian Mech","76996",2024,2,FALSE
"Rapunzel's Tower & The Snuggly Duckling","43241",2024,3,FALSE
"Belle's Storytime Horse Carriage","43233",2024,1,FALSE
"Disney Princess Market Adventure","43246",2024,4,FALSE
"Elsa's Frozen Treats","43234",2024,2,FALSE
"Elsa's Frozen Castle","43238",2024,2,FALSE
"Steve's Desert Expedition","21251",2024,1,FALSE
"The Devourer Showdown","21257",2024,4,FALSE
"The Frog House","21256",2024,3,FALSE
"The Nether Portal Ambush","21255",2024,1,FALSE
"The Turtle Beach House","21254",2024,2,FALSE
"Zoey and Zian the Cat-Owl","71476",2024,5,FALSE
"Izzie's Narwhal Hot-Air Balloon","71472",2024,2,FALSE
"The Sandman's Tower","71477",2024,6,FALSE
"Mateo's Off-Road Car","71471",2024,2,FALSE
"Mr. Oz's Space Car","71475",2024,4,FALSE
"Bouquet of Roses","10328",2024,0,FALSE
